UID,PIN,Email,User Role,Garage Role
814771968,185761,814771968@eagle.fgcu.edu ,0,5
814782656,435477,814782656@eagle.fgcu.edu ,0,6
814750592,420751,814750592@eagle.fgcu.edu ,0,7
814846720,730509,814846720@eagle.fgcu.edu ,1,5
814558336,801234,814558336@eagle.fgcu.edu ,1,0
814423488,854640,814423488@eagle.fgcu.edu ,0,3
814562368,694420,814562368@eagle.fgcu.edu ,2,1
814145792,175080,814145792@eagle.fgcu.edu ,0,8
814395520,467521,814395520@eagle.fgcu.edu ,2,5
814380800,324619,814380800@eagle.fgcu.edu ,1,5
814690560,18905,814690560@eagle.fgcu.edu ,0,9
814761280,670467,814761280@eagle.fgcu.edu ,0,5
814814656,715783,814814656@eagle.fgcu.edu ,2,6
814654464,110992,814654464@eagle.fgcu.edu ,0,8
814135104,659785,814135104@eagle.fgcu.edu ,1,0
814427584,747827,814427584@eagle.fgcu.edu ,1,4
814284672,14860,814284672@eagle.fgcu.edu ,1,7
814978944,213760,814978944@eagle.fgcu.edu ,0,4
814630528,617060,814630528@eagle.fgcu.edu ,1,2
814675840,876003,814675840@eagle.fgcu.edu ,2,7
814071040,630332,814071040@eagle.fgcu.edu ,2,1
814619840,367344,814619840@eagle.fgcu.edu ,1,1
814707840,890729,814707840@eagle.fgcu.edu ,1,6
814974912,320574,814974912@eagle.fgcu.edu ,2,3
814173824,296620,814173824@eagle.fgcu.edu ,1,6
814577088,837323,814577088@eagle.fgcu.edu ,2,3
814836032,480794,814836032@eagle.fgcu.edu ,1,4
814590400,815960,814590400@eagle.fgcu.edu ,2,9
814327360,544882,814327360@eagle.fgcu.edu ,0,4
814850752,623696,814850752@eagle.fgcu.edu ,2,6
814280640,121674,814280640@eagle.fgcu.edu ,0,5
814256640,627741,814256640@eagle.fgcu.edu ,1,9
814797376,843959,814797376@eagle.fgcu.edu ,0,8
814440832,726464,814440832@eagle.fgcu.edu ,2,3
814776000,78948,814776000@eagle.fgcu.edu ,1,7
814504896,21496,814504896@eagle.fgcu.edu ,2,2
814583744,459431,814583744@eagle.fgcu.edu ,1,0
814081728,880048,814081728@eagle.fgcu.edu ,2,9
814587776,352618,814587776@eagle.fgcu.edu ,2,2
814803968,200488,814803968@eagle.fgcu.edu ,2,5
814686528,125719,814686528@eagle.fgcu.edu ,2,8
814038976,350027,814038976@eagle.fgcu.edu ,0,2
814981504,677103,814981504@eagle.fgcu.edu ,1,9
814419456,961454,814419456@eagle.fgcu.edu ,2,1
814840064,373980,814840064@eagle.fgcu.edu ,2,6
814312640,136400,814312640@eagle.fgcu.edu ,2,5
814160512,317983,814160512@eagle.fgcu.edu ,1,0
814085760,773235,814085760@eagle.fgcu.edu ,0,1
814310080,673058,814310080@eagle.fgcu.edu ,2,7
814637120,239168,814637120@eagle.fgcu.edu ,2,1
814921472,275257,814921472@eagle.fgcu.edu ,1,2
814334016,901411,814334016@eagle.fgcu.edu ,1,4
814096448,288530,814096448@eagle.fgcu.edu ,2,1
814278016,392752,814278016@eagle.fgcu.edu ,0,8
814733248,548927,814733248@eagle.fgcu.edu ,2,9
814633088,345981,814633088@eagle.fgcu.edu ,1,9
814199232,954817,814199232@eagle.fgcu.edu ,1,9
814235264,128310,814235264@eagle.fgcu.edu ,1,0
814861440,138991,814861440@eagle.fgcu.edu ,1,5
814248576,106947,814248576@eagle.fgcu.edu ,1,6
814352768,203079,814352768@eagle.fgcu.edu ,0,7
814508992,649104,814508992@eagle.fgcu.edu ,1,3
814306048,779871,814306048@eagle.fgcu.edu ,1,6
814914880,918728,814914880@eagle.fgcu.edu ,2,5
814088320,502156,814088320@eagle.fgcu.edu ,1,9
814099008,751872,814099008@eagle.fgcu.edu ,0,9
814067008,737146,814067008@eagle.fgcu.edu ,1,0
814163136,46904,814163136@eagle.fgcu.edu ,1,8
814609152,117628,814609152@eagle.fgcu.edu ,1,3
814739904,171035,814739904@eagle.fgcu.edu ,1,6
814878784,10815,814878784@eagle.fgcu.edu ,2,4
814462208,491475,814462208@eagle.fgcu.edu ,1,1
814711936,783916,814711936@eagle.fgcu.edu ,2,8
814697152,641014,814697152@eagle.fgcu.edu ,2,8
814006912,335300,814006912@eagle.fgcu.edu ,1,2
814077696,986861,814077696@eagle.fgcu.edu ,1,8
814131072,32178,814131072@eagle.fgcu.edu ,2,9
814970880,427387,814970880@eagle.fgcu.edu ,1,1
814451520,976180,814451520@eagle.fgcu.edu ,1,1
814743936,64222,814743936@eagle.fgcu.edu ,1,7
814601024,331255,814601024@eagle.fgcu.edu ,2,0
814295360,264576,814295360@eagle.fgcu.edu ,1,5
814946880,933455,814946880@eagle.fgcu.edu ,1,5
814992192,192398,814992192@eagle.fgcu.edu ,0,0
814387456,681148,814387456@eagle.fgcu.edu ,0,2
814936192,683739,814936192@eagle.fgcu.edu ,2,4
814024256,207124,814024256@eagle.fgcu.edu ,2,0
814291264,371389,814291264@eagle.fgcu.edu ,0,3
814224640,613015,814224640@eagle.fgcu.edu ,2,9
814893504,153718,814893504@eagle.fgcu.edu ,0,4
814152448,531609,814152448@eagle.fgcu.edu ,2,7
814641216,132355,814641216@eagle.fgcu.edu ,0,2
814643776,595697,814643776@eagle.fgcu.edu ,1,7
814167168,940091,814167168@eagle.fgcu.edu ,2,0
814331456,438068,814331456@eagle.fgcu.edu ,1,8
814573056,944136,814573056@eagle.fgcu.edu ,1,2
814113728,160354,814113728@eagle.fgcu.edu ,1,9
814491648,42859,814491648@eagle.fgcu.edu ,2,3
814092416,395343,814092416@eagle.fgcu.edu ,1,0
814555712,72312,814555712@eagle.fgcu.edu ,0,2
814900160,510247,814900160@eagle.fgcu.edu ,2,3
814398080,196443,814398080@eagle.fgcu.edu ,2,2
814904192,403433,814904192@eagle.fgcu.edu ,0,5
814120384,516883,814120384@eagle.fgcu.edu ,0,8
814002880,442113,814002880@eagle.fgcu.edu ,0,1
814355392,666421,814355392@eagle.fgcu.edu ,1,2
814032320,993498,814032320@eagle.fgcu.edu ,1,3
814470272,277848,814470272@eagle.fgcu.edu ,0,4
814156480,424796,814156480@eagle.fgcu.edu ,0,9
814363456,452795,814363456@eagle.fgcu.edu ,0,8
814476928,634377,814476928@eagle.fgcu.edu ,2,4
814402176,89630,814402176@eagle.fgcu.edu ,0,4
814626432,989452,814626432@eagle.fgcu.edu ,2,0
814953536,555563,814953536@eagle.fgcu.edu ,0,1
814237888,591652,814237888@eagle.fgcu.edu ,2,5
814384832,217805,814384832@eagle.fgcu.edu ,2,7
814412864,339345,814412864@eagle.fgcu.edu ,0,5
814594432,709147,814594432@eagle.fgcu.edu ,1,1
814049664,865322,814049664@eagle.fgcu.edu ,0,0
814949504,662376,814949504@eagle.fgcu.edu ,2,0
814515584,271212,814515584@eagle.fgcu.edu ,2,0
814551680,179125,814551680@eagle.fgcu.edu ,2,1
814177856,189807,814177856@eagle.fgcu.edu ,2,8
814299392,157763,814299392@eagle.fgcu.edu ,2,9
814669184,253895,814669184@eagle.fgcu.edu ,1,0
814825344,965499,814825344@eagle.fgcu.edu ,1,4
814622400,96266,814622400@eagle.fgcu.edu ,1,9
814231232,235123,814231232@eagle.fgcu.edu ,0,9
814139136,552972,814139136@eagle.fgcu.edu ,1,2
814149824,68267,814149824@eagle.fgcu.edu ,1,0
814117824,53540,814117824@eagle.fgcu.edu ,2,0
814213952,363299,814213952@eagle.fgcu.edu ,2,9
814925568,168444,814925568@eagle.fgcu.edu ,2,3
814056320,221851,814056320@eagle.fgcu.edu ,1,9
814195136,61631,814195136@eagle.fgcu.edu ,0,5
814513024,542291,814513024@eagle.fgcu.edu ,2,5
814028288,100311,814028288@eagle.fgcu.edu ,0,1
814013568,691829,814013568@eagle.fgcu.edu ,2,9
814323328,651695,814323328@eagle.fgcu.edu ,2,3
814128512,303256,814128512@eagle.fgcu.edu ,2,1
814181888,82993,814181888@eagle.fgcu.edu ,0,9
814021696,478203,814021696@eagle.fgcu.edu ,2,2
814502336,292575,814502336@eagle.fgcu.edu ,2,4
814060352,115037,814060352@eagle.fgcu.edu ,2,1
814651840,382071,814651840@eagle.fgcu.edu ,0,0
814611712,580971,814611712@eagle.fgcu.edu ,2,8
814263296,249849,814263296@eagle.fgcu.edu ,2,8
814043008,243213,814043008@eagle.fgcu.edu ,1,3
814438272,997543,814438272@eagle.fgcu.edu ,0,5
814252608,134,814252608@eagle.fgcu.edu ,2,7
814075072,523519,814075072@eagle.fgcu.edu ,0,3
814342080,687784,814342080@eagle.fgcu.edu ,1,7
814540992,929410,814540992@eagle.fgcu.edu ,2,3
814209856,470112,814209856@eagle.fgcu.edu ,1,7
814203264,848004,814203264@eagle.fgcu.edu ,2,1
814957568,448750,814957568@eagle.fgcu.edu ,1,3
814960192,912092,814960192@eagle.fgcu.edu ,1,1
814483584,256486,814483584@eagle.fgcu.edu ,0,0
814647808,488884,814647808@eagle.fgcu.edu ,2,9
814889472,260531,814889472@eagle.fgcu.edu ,2,2
814430144,211169,814430144@eagle.fgcu.edu ,2,2
814808064,93675,814808064@eagle.fgcu.edu ,0,6
814408768,446159,814408768@eagle.fgcu.edu ,2,3
814872128,388707,814872128@eagle.fgcu.edu ,1,5
814216512,826641,814216512@eagle.fgcu.edu ,2,6
814448896,512838,814448896@eagle.fgcu.edu ,0,6
814220544,719828,814220544@eagle.fgcu.edu ,1,8
814171200,833278,814171200@eagle.fgcu.edu ,1,1
814053696,758508,814053696@eagle.fgcu.edu ,1,1
814406208,982816,814406208@eagle.fgcu.edu ,1,5
814348736,309892,814348736@eagle.fgcu.edu ,2,6
814786688,328664,814786688@eagle.fgcu.edu ,0,8
814472896,741191,814472896@eagle.fgcu.edu ,1,2
814679872,769190,814679872@eagle.fgcu.edu ,1,8
814793344,950772,814793344@eagle.fgcu.edu ,2,4
814718528,406024,814718528@eagle.fgcu.edu ,1,7
814942848,40268,814942848@eagle.fgcu.edu ,0,3
814269952,606379,814269952@eagle.fgcu.edu ,1,5
814288704,908047,814288704@eagle.fgcu.edu ,2,8
814701248,534200,814701248@eagle.fgcu.edu ,0,0
814729216,655740,814729216@eagle.fgcu.edu ,1,8
814910784,25542,814910784@eagle.fgcu.edu ,1,4
814366080,181716,814366080@eagle.fgcu.edu ,0,3
814000320,978771,814000320@eagle.fgcu.edu ,2,3
814566400,587607,814566400@eagle.fgcu.edu ,0,3
814868096,495520,814868096@eagle.fgcu.edu ,0,4
814494208,506201,814494208@eagle.fgcu.edu ,0,1
814615808,474157,814615808@eagle.fgcu.edu ,0,0
814985600,570289,814985600@eagle.fgcu.edu ,2,1
814141760,281893,814141760@eagle.fgcu.edu ,2,7
814938816,147081,814938816@eagle.fgcu.edu ,2,2
814547648,285939,814547648@eagle.fgcu.edu ,1,9
814455552,869367,814455552@eagle.fgcu.edu ,2,2
814466240,384662,814466240@eagle.fgcu.edu ,2,3
814434176,104356,814434176@eagle.fgcu.edu ,0,3
814530304,414115,814530304@eagle.fgcu.edu ,0,2
814241920,484839,814241920@eagle.fgcu.edu ,0,7
814107136,538245,814107136@eagle.fgcu.edu ,2,2
814245952,378025,814245952@eagle.fgcu.edu ,1,8
814829376,858685,814829376@eagle.fgcu.edu ,2,5
814344704,416706,814344704@eagle.fgcu.edu ,1,4
814064384,8224,814064384@eagle.fgcu.edu ,0,2
814374144,702511,814374144@eagle.fgcu.edu ,2,6
814444864,619651,814444864@eagle.fgcu.edu ,2,4
814498304,399388,814498304@eagle.fgcu.edu ,1,2
814338048,794597,814338048@eagle.fgcu.edu ,2,5
814818752,608970,814818752@eagle.fgcu.edu ,0,7
814376768,431432,814376768@eagle.fgcu.edu ,0,4
814968256,698465,814968256@eagle.fgcu.edu ,1,4
814468800,897366,814468800@eagle.fgcu.edu ,2,1
814223168,566244,814223168@eagle.fgcu.edu ,0,9
814225728,559608,814225728@eagle.fgcu.edu ,2,4
814749120,313937,814749120@eagle.fgcu.edu ,1,8
814913408,50949,814913408@eagle.fgcu.edu ,0,0
814155008,574335,814155008@eagle.fgcu.edu ,1,3
814695744,4179,814695744@eagle.fgcu.edu ,1,0
814073600,245804,814073600@eagle.fgcu.edu ,0,3
814674368,520928,814674368@eagle.fgcu.edu ,2,0
814137728,164399,814137728@eagle.fgcu.edu ,0,1
814482112,499565,814482112@eagle.fgcu.edu ,2,6
814714496,228487,814714496@eagle.fgcu.edu ,2,4
814486144,307301,814486144@eagle.fgcu.edu ,1,3
814436800,805279,814436800@eagle.fgcu.edu ,2,2
814319296,576926,814319296@eagle.fgcu.edu ,0,6
814671744,527564,814671744@eagle.fgcu.edu ,2,5
814614336,410069,814614336@eagle.fgcu.edu ,1,9
814052288,762553,814052288@eagle.fgcu.edu ,0,4
814738432,705102,814738432@eagle.fgcu.edu ,2,8
814945472,143036,814945472@eagle.fgcu.edu ,0,0
814058880,563653,814058880@eagle.fgcu.edu ,1,9
814984128,36223,814984128@eagle.fgcu.edu ,1,1
814208448,149672,814208448@eagle.fgcu.edu ,1,2
814535488,74903,814535488@eagle.fgcu.edu ,1,4
814554304,299211,814554304@eagle.fgcu.edu ,2,9
814966784,360708,814966784@eagle.fgcu.edu ,0,9
814994816,645059,814994816@eagle.fgcu.edu ,1,1
814176384,57586,814176384@eagle.fgcu.edu ,1,3
814631616,85584,814631616@eagle.fgcu.edu ,1,2
814265856,267167,814265856@eagle.fgcu.edu ,0,7
814832000,456840,814832000@eagle.fgcu.edu ,2,0
814133632,356663,814133632@eagle.fgcu.edu ,1,4
814759808,922773,814759808@eagle.fgcu.edu ,1,8
814881344,224442,814881344@eagle.fgcu.edu ,0,1
814251136,585016,814251136@eagle.fgcu.edu ,1,0
814407360,972135,814407360@eagle.fgcu.edu ,1,8
814204416,341936,814204416@eagle.fgcu.edu ,2,4
814813248,232532,814813248@eagle.fgcu.edu ,1,6
814721152,29587,814721152@eagle.fgcu.edu ,0,6
814731840,638423,814731840@eagle.fgcu.edu ,1,6
814699776,811915,814699776@eagle.fgcu.edu ,1,7
814795904,822596,814795904@eagle.fgcu.edu ,1,4
814507520,790552,814507520@eagle.fgcu.edu ,1,3
814372672,886684,814372672@eagle.fgcu.edu ,2,4
814511552,598288,814511552@eagle.fgcu.edu ,0,0
814094976,463476,814094976@eagle.fgcu.edu ,0,2
814610304,602333,814610304@eagle.fgcu.edu ,2,2
814329984,185761,814329984@eagle.fgcu.edu ,0,5
814639744,435477,814639744@eagle.fgcu.edu ,0,6
814710464,420751,814710464@eagle.fgcu.edu ,0,7
814763840,730509,814763840@eagle.fgcu.edu ,1,5
814603648,801234,814603648@eagle.fgcu.edu ,1,0
814084288,854640,814084288@eagle.fgcu.edu ,0,3
814642304,694420,814642304@eagle.fgcu.edu ,2,1
814233856,175080,814233856@eagle.fgcu.edu ,0,8
814928128,467521,814928128@eagle.fgcu.edu ,2,5
814845248,324619,814845248@eagle.fgcu.edu ,1,5
814625024,18905,814625024@eagle.fgcu.edu ,0,9
814020224,670467,814020224@eagle.fgcu.edu ,0,5
814834560,715783,814834560@eagle.fgcu.edu ,2,6
814657024,110992,814657024@eagle.fgcu.edu ,0,8
814924096,659785,814924096@eagle.fgcu.edu ,1,0
814123008,747827,814123008@eagle.fgcu.edu ,1,4
814791872,14860,814791872@eagle.fgcu.edu ,1,7
814785216,213760,814785216@eagle.fgcu.edu ,0,4
814539584,617060,814539584@eagle.fgcu.edu ,1,2
814276544,876003,814276544@eagle.fgcu.edu ,2,7
814799936,630332,814799936@eagle.fgcu.edu ,2,1
814229824,367344,814229824@eagle.fgcu.edu ,1,1
814471424,890729,814471424@eagle.fgcu.edu ,1,6
814746560,320574,814746560@eagle.fgcu.edu ,2,3
814390016,296620,814390016@eagle.fgcu.edu ,1,6
814725184,837323,814725184@eagle.fgcu.edu ,2,3
814454080,480794,814454080@eagle.fgcu.edu ,1,4
814532928,815960,814532928@eagle.fgcu.edu ,2,9
814030912,544882,814030912@eagle.fgcu.edu ,0,4
814802560,623696,814802560@eagle.fgcu.edu ,2,6
814753152,121674,814753152@eagle.fgcu.edu ,0,5
814635712,627741,814635712@eagle.fgcu.edu ,1,9
814988160,843959,814988160@eagle.fgcu.edu ,0,8
814930688,726464,814930688@eagle.fgcu.edu ,2,3
814368640,78948,814368640@eagle.fgcu.edu ,1,7
814789248,21496,814789248@eagle.fgcu.edu ,2,2
814261824,459431,814261824@eagle.fgcu.edu ,1,0
814375296,880048,814375296@eagle.fgcu.edu ,2,9
814300544,352618,814300544@eagle.fgcu.edu ,2,2
814524800,200488,814524800@eagle.fgcu.edu ,2,5
814586304,125719,814586304@eagle.fgcu.edu ,2,8
814870656,350027,814870656@eagle.fgcu.edu ,0,2
814283200,677103,814283200@eagle.fgcu.edu ,1,9
814311232,961454,814311232@eagle.fgcu.edu ,2,1
814492800,373980,814492800@eagle.fgcu.edu ,2,6
814682432,136400,814682432@eagle.fgcu.edu ,2,5
814582272,317983,814582272@eagle.fgcu.edu ,1,0
814148416,773235,814148416@eagle.fgcu.edu ,0,1
814450048,673058,814450048@eagle.fgcu.edu ,2,7
814810624,239168,814810624@eagle.fgcu.edu ,2,1
814197760,275257,814197760@eagle.fgcu.edu ,1,2
814567552,901411,814567552@eagle.fgcu.edu ,1,4
814458176,288530,814458176@eagle.fgcu.edu ,2,1
814255232,392752,814255232@eagle.fgcu.edu ,0,8
814864064,548927,814864064@eagle.fgcu.edu ,2,9
814037504,345981,814037504@eagle.fgcu.edu ,1,9
814048192,954817,814048192@eagle.fgcu.edu ,1,9
814016192,128310,814016192@eagle.fgcu.edu ,1,0
814112320,138991,814112320@eagle.fgcu.edu ,1,5
814823936,106947,814823936@eagle.fgcu.edu ,1,6
814689088,203079,814689088@eagle.fgcu.edu ,0,7
814827968,649104,814827968@eagle.fgcu.edu ,1,3
814411392,779871,814411392@eagle.fgcu.edu ,1,6
814661120,918728,814661120@eagle.fgcu.edu ,2,5
814646336,502156,814646336@eagle.fgcu.edu ,1,9
814956096,751872,814956096@eagle.fgcu.edu ,0,9
814026880,737146,814026880@eagle.fgcu.edu ,1,0
814080256,46904,814080256@eagle.fgcu.edu ,1,8
814920064,117628,814920064@eagle.fgcu.edu ,1,3
814400704,171035,814400704@eagle.fgcu.edu ,1,6
814693120,10815,814693120@eagle.fgcu.edu ,2,4
814550208,491475,814550208@eagle.fgcu.edu ,1,1
814244544,783916,814244544@eagle.fgcu.edu ,2,8
814896064,641014,814896064@eagle.fgcu.edu ,2,8
814941376,335300,814941376@eagle.fgcu.edu ,1,2
814336640,986861,814336640@eagle.fgcu.edu ,1,8
814885376,32178,814885376@eagle.fgcu.edu ,2,9
814973440,427387,814973440@eagle.fgcu.edu ,1,1
814240448,976180,814240448@eagle.fgcu.edu ,1,1
814439360,64222,814439360@eagle.fgcu.edu ,1,7
814842688,331255,814842688@eagle.fgcu.edu ,2,0
814101632,264576,814101632@eagle.fgcu.edu ,1,5
814855936,933455,814855936@eagle.fgcu.edu ,1,5
814592960,192398,814592960@eagle.fgcu.edu ,0,0
814116352,681148,814116352@eagle.fgcu.edu ,0,2
814546176,683739,814546176@eagle.fgcu.edu ,2,4
814522240,207124,814522240@eagle.fgcu.edu ,2,0
814062912,371389,814062912@eagle.fgcu.edu ,0,3
814706432,613015,814706432@eagle.fgcu.edu ,2,9
814041600,153718,814041600@eagle.fgcu.edu ,0,4
814770496,531609,814770496@eagle.fgcu.edu ,2,7
814849344,132355,814849344@eagle.fgcu.edu ,0,2
814347264,595697,814347264@eagle.fgcu.edu ,1,7
814853376,940091,814853376@eagle.fgcu.edu ,2,0
814069568,438068,814069568@eagle.fgcu.edu ,1,8
814952064,944136,814952064@eagle.fgcu.edu ,1,2
814304576,160354,814304576@eagle.fgcu.edu ,1,9
814247104,42859,814247104@eagle.fgcu.edu ,2,3
814685056,395343,814685056@eagle.fgcu.edu ,1,0
814105664,72312,814105664@eagle.fgcu.edu ,0,2
814578240,510247,814578240@eagle.fgcu.edu ,2,3
814426112,196443,814426112@eagle.fgcu.edu ,2,2
814351360,403433,814351360@eagle.fgcu.edu ,0,5
814575616,516883,814575616@eagle.fgcu.edu ,0,8
814902720,442113,814902720@eagle.fgcu.edu ,0,1
814187072,666421,814187072@eagle.fgcu.edu ,1,2
814599616,993498,814599616@eagle.fgcu.edu ,1,3
814362048,277848,814362048@eagle.fgcu.edu ,0,4
814543616,424796,814543616@eagle.fgcu.edu ,0,9
814998848,452795,814998848@eagle.fgcu.edu ,0,8
814898688,634377,814898688@eagle.fgcu.edu ,2,4
814464768,89630,814464768@eagle.fgcu.edu ,0,4
814500864,989452,814500864@eagle.fgcu.edu ,2,0
814127040,555563,814127040@eagle.fgcu.edu ,0,1
814514176,591652,814514176@eagle.fgcu.edu ,2,5
814618368,217805,814618368@eagle.fgcu.edu ,2,7
814774528,339345,814774528@eagle.fgcu.edu ,0,5
814571584,709147,814571584@eagle.fgcu.edu ,1,1
814180416,865322,814180416@eagle.fgcu.edu ,0,0
814353920,662376,814353920@eagle.fgcu.edu ,2,0
814364608,271212,814364608@eagle.fgcu.edu ,2,0
814332544,179125,814332544@eagle.fgcu.edu ,2,1
814428672,189807,814428672@eagle.fgcu.edu ,2,8
814874752,157763,814874752@eagle.fgcu.edu ,2,9
814005504,253895,814005504@eagle.fgcu.edu ,1,0
814144320,965499,814144320@eagle.fgcu.edu ,1,4
814727744,96266,814727744@eagle.fgcu.edu ,1,9
814977472,235123,814977472@eagle.fgcu.edu ,0,9
814962752,552972,814962752@eagle.fgcu.edu ,1,2
814272512,68267,814272512@eagle.fgcu.edu ,1,0
814343232,53540,814343232@eagle.fgcu.edu ,2,0
814396672,363299,814396672@eagle.fgcu.edu ,2,9
814236416,168444,814236416@eagle.fgcu.edu ,2,3
814717120,221851,814717120@eagle.fgcu.edu ,1,9
814009536,61631,814009536@eagle.fgcu.edu ,0,5
814866624,542291,814866624@eagle.fgcu.edu ,2,5
814560896,100311,814560896@eagle.fgcu.edu ,0,1
814212480,691829,814212480@eagle.fgcu.edu ,2,9
814257792,651695,814257792@eagle.fgcu.edu ,2,3
814652992,303256,814652992@eagle.fgcu.edu ,2,1
814201792,82993,814201792@eagle.fgcu.edu ,0,9
814289856,478203,814289856@eagle.fgcu.edu ,2,2
814556864,292575,814556864@eagle.fgcu.edu ,2,4
814490176,115037,814490176@eagle.fgcu.edu ,2,1
814159040,382071,814159040@eagle.fgcu.edu ,0,0
814417984,580971,814417984@eagle.fgcu.edu ,2,8
814906752,249849,814906752@eagle.fgcu.edu ,2,8
814909376,243213,814909376@eagle.fgcu.edu ,1,3
814432768,997543,814432768@eagle.fgcu.edu ,0,5
814596992,134,814596992@eagle.fgcu.edu ,2,7
814838656,523519,814838656@eagle.fgcu.edu ,0,3
814379328,766413,814379328@eagle.fgcu.edu ,1,7
814757248,8038,814757248@eagle.fgcu.edu ,2,3
814357952,548741,814357952@eagle.fgcu.edu ,1,7
814821312,926633,814821312@eagle.fgcu.edu ,2,1
814165696,527378,814165696@eagle.fgcu.edu ,1,3
814663680,990721,814663680@eagle.fgcu.edu ,1,1
814169728,335114,814169728@eagle.fgcu.edu ,0,0
814385984,567512,814385984@eagle.fgcu.edu ,2,9
814268480,339159,814268480@eagle.fgcu.edu ,2,2
814620928,289798,814620928@eagle.fgcu.edu ,2,2
814297920,172303,814297920@eagle.fgcu.edu ,0,6
814735872,524787,814735872@eagle.fgcu.edu ,2,3
814422080,467335,814422080@eagle.fgcu.edu ,1,5
814629056,905270,814629056@eagle.fgcu.edu ,2,6
814742528,591466,814742528@eagle.fgcu.edu ,0,6
814667712,798457,814667712@eagle.fgcu.edu ,1,8
814892032,911906,814892032@eagle.fgcu.edu ,1,1
814219136,837137,814219136@eagle.fgcu.edu ,1,1
814503488,61445,814503488@eagle.fgcu.edu ,1,5
814650432,388521,814650432@eagle.fgcu.edu ,2,6
814678400,407292,814678400@eagle.fgcu.edu ,0,8
814859968,819819,814859968@eagle.fgcu.edu ,1,2
814315264,847818,814315264@eagle.fgcu.edu ,1,8
814215040,29401,814215040@eagle.fgcu.edu ,2,4
814781184,484653,814781184@eagle.fgcu.edu ,1,7
814817280,118897,814817280@eagle.fgcu.edu ,0,3
814443392,685007,814443392@eagle.fgcu.edu ,1,5
814564992,986675,814564992@eagle.fgcu.edu ,2,8
814934784,612829,814934784@eagle.fgcu.edu ,0,0
814090944,734369,814090944@eagle.fgcu.edu ,1,8
814888000,104170,814888000@eagle.fgcu.edu ,1,4
814496832,260345,814496832@eagle.fgcu.edu ,0,3
814404736,57400,814404736@eagle.fgcu.edu ,2,3
814415424,666236,814415424@eagle.fgcu.edu ,0,3
814383360,574149,814383360@eagle.fgcu.edu ,0,4
814479488,584830,814479488@eagle.fgcu.edu ,0,1
814191104,552786,814191104@eagle.fgcu.edu ,0,0
814321856,648918,814321856@eagle.fgcu.edu ,2,1
814460736,360522,814460736@eagle.fgcu.edu ,2,7
814778560,225710,814778560@eagle.fgcu.edu ,2,2
814293888,364567,814293888@eagle.fgcu.edu ,1,9
814279168,947995,814279168@eagle.fgcu.edu ,2,2
814588928,463290,814588928@eagle.fgcu.edu ,2,3
814394048,182985,814394048@eagle.fgcu.edu ,0,3
